"key","startTime","externalId","subtype","Sum Resv Qty","assetExternalIds","Sum of avl stk","endTime","Shipment no.","isDeleted","PO1 Plan dt","Container no.","Material Availability Offshore","Reqmt Qty","OrderKey","description","Dlv qty cum","Material","Material Availability Onshore","RealisticStartDt","type"
"MATERIAL_1000002_4","1679052226326","MATERIAL_1000002_4","1000002","2","[""LOR_NORWAY_SYSTEM_021_21PT1019""]","1","1679052226327","23369","false","2023-02-23T11:23:46.326Z","20900","Green","3","1000002","Materials for 1000002","2","23045","Green","2023-02-23T11:23:46.326Z","Material"
"MATERIAL_10049487_2","1679052226474","MATERIAL_10049487_2","10049487","2","[""LOR_NORWAY_SYSTEM_011_11-ESDV-12053""]","2","1679052226474","10068","false","2023-04-22T11:23:46.474Z","19151","Green","3","10049487","Materials for 10049487","3","20345","Green","2023-04-22T11:23:46.474Z","Material"
"MATERIAL_10061092_0","1679052226392","MATERIAL_10061092_0","10061092","3","[""23-TI-96148""]","4","1679052226392","30149","false","2023-03-03T11:23:46.392Z","31182","Green","4","10061092","Materials for 10061092","5","23387","Green","2023-03-03T11:23:46.392Z","Material"
"MATERIAL_10061092_7","1679052226392","MATERIAL_10061092_7","10061092","4","[""23-TI-96148""]","","1679052226392","","false","2023-03-03T11:23:46.392Z","","Orange","5","10061092","Materials for 10061092","","28594","Orange","2023-03-03T11:23:46.392Z","Material"
"MATERIAL_10121485_0","1679052226420","MATERIAL_10121485_0","10121485","1","[""23-NXO-96142""]","5","1679052226420","34181","false","2023-03-08T11:23:46.420Z","30942","Green","2","10121485","Materials for 10121485","6","11499","Green","2023-03-08T11:23:46.420Z","Material"
"MATERIAL_10121485_1","1679052226420","MATERIAL_10121485_1","10121485","2","[""23-NXO-96142""]","5","1679052226420","30642","false","2023-03-08T11:23:46.420Z","31118","Green","3","10121485","Materials for 10121485","6","27419","Green","2023-03-08T11:23:46.420Z","Material"
"MATERIAL_10193597_0","1679052226483","MATERIAL_10193597_0","10193597","2","[""23-KA-9101-M01-62C""]","4","1679052226483","26211","false","2023-04-30T11:23:46.483Z","23402","Green","3","10193597","Materials for 10193597","5","19745","Green","2023-04-30T11:23:46.483Z","Material"
"MATERIAL_10356073_1","1679052226433","MATERIAL_10356073_1","10356073","5","[""23-PIC-92538-01""]","6","1679052226433","32009","false","2023-02-27T11:23:46.433Z","27981","Green","6","10356073","Materials for 10356073","7","37383","Green","2023-02-27T11:23:46.433Z","Material"
"MATERIAL_10356073_4","1679052226434","MATERIAL_10356073_4","10356073","4","[""23-PIC-92538-01""]","7","1679052226434","31537","false","2023-02-27T11:23:46.433Z","22004","Green","5","10356073","Materials for 10356073","8","23756","Green","2023-02-27T11:23:46.433Z","Material"
"MATERIAL_10424573_0","1679052226371","MATERIAL_10424573_0","10424573","1","[""23-YT-96118-01""]","7","1679052226371","29469","false","2023-04-26T11:23:46.371Z","26187","Green","2","10424573","Materials for 10424573","8","28895","Green","2023-04-26T11:23:46.371Z","Material"
"MATERIAL_10424573_4","1679052226371","MATERIAL_10424573_4","10424573","2","[""23-YT-96118-01""]","6","1679052226371","26207","false","2023-04-26T11:23:46.371Z","33439","Green","3","10424573","Materials for 10424573","7","19304","Green","2023-04-26T11:23:46.371Z","Material"
"MATERIAL_10463052_5","1679052226482","MATERIAL_10463052_5","10463052","3","[""23-TAH-96113-03""]","6","1679052226482","16628","false","2023-04-19T11:23:46.482Z","10571","Green","4","10463052","Materials for 10463052","7","13898","Green","2023-04-19T11:23:46.482Z","Material"
"MATERIAL_10496477_1","1679052226414","MATERIAL_10496477_1","10496477","4","[""23-YAHH-96117-01""]","7","1679052226414","24334","false","2023-04-21T11:23:46.414Z","17980","Green","5","10496477","Materials for 10496477","8","16975","Green","2023-04-21T11:23:46.414Z","Material"
"MATERIAL_10558865_1","1679052226463","MATERIAL_10558865_1","10558865","2","[""23-PT-92537""]","1","1679052226463","23091","false","2023-04-26T11:23:46.463Z","21659","Green","3","10558865","Materials for 10558865","2","18432","Green","2023-04-26T11:23:46.463Z","Material"
"MATERIAL_11005817_0","1679052226361","MATERIAL_11005817_0","11005817","2","[""23-TAH-96116-01""]","2","1679052226361","35223","false","2023-03-14T11:23:46.361Z","21812","Green","3","11005817","Materials for 11005817","3","23733","Green","2023-03-14T11:23:46.361Z","Material"
"MATERIAL_11110355_1","1679052226416","MATERIAL_11110355_1","11110355","2","[""23-TX-96167""]","3","1679052226416","23232","false","2023-05-20T11:23:46.416Z","39372","Green","3","11110355","Materials for 11110355","4","31684","Green","2023-05-20T11:23:46.416Z","Material"
"MATERIAL_11228959_3","1679052226483","MATERIAL_11228959_3","11228959","5","[""23-FI-92537-02""]","3","1679052226483","14489","false","2023-05-07T11:23:46.483Z","39022","Green","6","11228959","Materials for 11228959","4","34879","Green","2023-05-07T11:23:46.483Z","Material"
"MATERIAL_11238463_1","1679052226415","MATERIAL_11238463_1","11238463","2","[""23-TY-92604B""]","7","1679052226415","33146","false","2023-05-03T11:23:46.415Z","22916","Green","3","11238463","Materials for 11238463","8","15797","Green","2023-05-03T11:23:46.415Z","Material"
"MATERIAL_11238463_4","1679052226415","MATERIAL_11238463_4","11238463","1","[""23-TY-92604B""]","2","1679052226415","33158","false","2023-05-03T11:23:46.415Z","36296","Green","2","11238463","Materials for 11238463","3","15138","Green","2023-05-03T11:23:46.415Z","Material"
"MATERIAL_11243812_1","1679052226477","MATERIAL_11243812_1","11243812","2","[""45-PDT-92506""]","8","1679052226477","27797","false","2023-05-22T11:23:46.477Z","19218","Green","3","11243812","Materials for 11243812","9","11303","Green","2023-05-22T11:23:46.477Z","Material"
