"key","startTime","WorkOperationCompletedByUserName","isClosed","Workcenter","WorkOperationHours","isDeleted","WorkOperationNumber","type","WorkOperationActualHours","isWOClosed","externalId","WorkOperationCompletedDateTime","description","Number","WorkOperationRemainingHours","assetExternalIds","WorkOperationCompletedByUserID","Work","endTime","WorkOperationName","WorkOperationID","Class","Order"
"WO_10193597_operation_1","1685359426483","","false","ELEC","36","false","0001","operation","18","false","WO_10193597_operation_1","","Initial ESDV inspection","1","5","[""23-KA-9101-M01-62C""]","","12","1685445826483","Initial VALVE inspection","10193597-0001","Post","10193597"
"WO_10263717_operation_0","1687087426476","","false","SUPV","16","false","0000","operation","6","false","WO_10263717_operation_0","","Initial ESDV safety check","3","4","[""23-NY-96144""]","","6","1687173826476","General ESV survey","10263717-0000","Pre","10263717"
"WO_10424573_operation_3","1684841026371","","false","ELEC","10","false","0003","operation","30","false","WO_10424573_operation_3","","Required:  Fire extinguisher safety check","2","18","[""23-YT-96118-01""]","","12","1684927426371","General BDSV performance check","10424573-0003","Pre","10424573"
"WO_10496477_operation_2","1684495426414","","false","INST","4","false","0002","operation","8","false","WO_10496477_operation_2","","Initial ESV survey","3","17","[""23-YAHH-96117-01""]","","12","1684581826414","Required:  PSV performance check","10496477-0002","Pre","10496477"
"WO_10656627_operation_0","1688124226457","","false","WELD","21","false","0000","operation","11","false","WO_10656627_operation_0","","Leaking PIPE maintenance","2","9","[""23-TAH-96137-01""]","","10","1688210626457","Required:  Fire extinguisher test","10656627-0000","Exe","10656627"
"WO_11110355_operation_3","1687087426416","","false","SUPV","35","false","0003","operation","5","false","WO_11110355_operation_3","","Initial ESV maintenance","3","7","[""23-TX-96167""]","","23","1687173826416","Required:  Fire extinguisher check","11110355-0003","Pre","11110355"
"WO_11206600_operation_0","1685705026415","","false","SUPV","3","false","0000","operation","32","false","WO_11206600_operation_0","","Initial ESDV turn off","3","10","[""23-EC-9102""]","","3","1685791426415","Leaking PSV check","11206600-0000","Pre","11206600"
"WO_11206600_operation_1","1685705026415","","false","ELEC","31","false","0001","operation","29","false","WO_11206600_operation_1","","Leaking PSV test","2","19","[""23-EC-9102""]","","5","1685791426415","Initial BDSV turn off","11206600-0001","Exe","11206600"
"WO_11238463_operation_0","1685445826415","","false","INST","23","false","0000","operation","18","false","WO_11238463_operation_0","","Leaking BDSV failure","1","19","[""23-TY-92604B""]","","12","1685532226415","Required:  ESV safety check","11238463-0000","Exe","11238463"
"WO_11333046_operation_0","1686828226464","","false","INST","31","false","0000","operation","37","false","WO_11333046_operation_0","","Required:  ESDV performance check","1","12","[""23-YT-96117-02""]","","5","1686914626464","Instrumentation Fire extinguisher safety check","11333046-0000","Post","11333046"
"WO_11662725_operation_0","1685705026463","","false","TECH","32","false","0000","operation","19","false","WO_11662725_operation_0","","General ESDV safety check","3","20","[""23-XS-96139""]","","11","1685791426463","Initial PSV survey","11662725-0000","Exe","11662725"
"WO_11689250_operation_2","1686655426448","","false","WELD","32","false","0002","operation","3","false","WO_11689250_operation_2","","Instrumentation Fire extinguisher check","2","4","[""23-TE-96131-01""]","","21","1686741826448","Required:  VALVE test","11689250-0002","Pre","11689250"
"WO_11724274_operation_0","1685532226415","","false","WELD","14","false","0000","operation","11","false","WO_11724274_operation_0","","General PSV test","2","15","[""23-FO-96188""]","","22","1685618626415","Required:  PIPE performance check","11724274-0000","Pre","11724274"
"WO_11823824_operation_1","1686482626448","","false","MECH","24","false","0001","operation","32","false","WO_11823824_operation_1","","Required:  BDSV survey","2","11","[""23-TAHH-96147-01""]","","12","1686569026448","Instrumentation BDSV maintenance","11823824-0001","Pre","11823824"
"WO_11853664_operation_1","1679570626458","","false","TECH","38","false","0001","operation","21","false","WO_11853664_operation_1","","Instrumentation ESV survey","1","11","[""23-PI-96186-03""]","","4","1679657026458","Instrumentation VALVE safety check","11853664-0001","Post","11853664"
"WO_12383288_operation_3","1687001026389","","false","MECH","17","false","0003","operation","24","false","WO_12383288_operation_3","","Initial Fire extinguisher performance check","3","7","[""45-PSV-92613""]","","21","1687087426389","General PSV maintenance","12383288-0003","Pre","12383288"
"WO_12415040_operation_1","1682421826363","","false","SUPV","9","false","0001","operation","2","false","WO_12415040_operation_1","","Leaking ESV failure","1","18","[""48-XI-96964A""]","","18","1682508226363","Instrumentation PIPE inspection","12415040-0001","Post","12415040"
"WO_12444101_operation_0","1683717826342","","false","MECH","22","false","0000","operation","5","false","WO_12444101_operation_0","","Leaking ESV survey","2","6","[""23-TAH-96111-01""]","","11","1683804226342","Leaking Fire extinguisher performance check","12444101-0000","Exe","12444101"
"WO_12558523_operation_1","1683458626423","","false","SUPV","8","false","0001","operation","37","false","WO_12558523_operation_1","","Leaking BDSV safety check","3","13","[""23-ESDV-92501B-J01""]","","23","1683545026423","General VALVE turn off","12558523-0001","Post","12558523"
"WO_12558523_operation_2","1683458626423","","false","INST","12","false","0002","operation","26","false","WO_12558523_operation_2","","Initial PSV survey","3","17","[""23-ESDV-92501B-J01""]","","13","1683545026423","General PSV failure","12558523-0002","Pre","12558523"
"WO_12821448_operation_2","1681039426350","","false","ELEC","13","false","0002","operation","35","false","WO_12821448_operation_2","","Required:  PIPE survey","3","2","[""23-HV-96189-01""]","","9","1681125826350","Instrumentation ESDV survey","12821448-0002","Exe","12821448"
