"key","subtype","WorkOrderCompletionDateTime","description","WorkOrderMainWorkCenter","System","WorkOrderIsOnshoreDeliveryHold","assetNames","OverallMaterialStatus","WorkOrderStatusDescription","Deadline","WorkOrderScheduledStartDateTime","PlannerGroup","WorkOrderReschedulingCounter","WorkOrderIsCancelled","Location","WorkOrderUserStatusDescription","name","WorkOrderPriorityType","ScheduledStart","source","startTime","externalId","WorkOrderDiscipline","OrderType","WorkOrderPlannerGroup","assetExternalIds","isClosed","RequiresHotWork","Overall Mat status","TotalActualWork","WorkOrderReturnMaterialStatus","WorkOrderLocation","LongText","Description","WorkOrderSystemStatus","WorkOrderDurationHours","WorkOrderUserStatus","StaticRevisionCode","WorkOrderPriority","WorkOrderStatus","Revision","Work","endTime","WorkOrderMaterialStatus","RevisionID","WorkOrderActualDurationHours","WorkOrderType","WorkOrderFunctionalLocation","WorkOrder_ItemNames","WorkPackage","Order","WorkOrderDescription","WorkOrderSystemStatusDescription","WorkOrderNumber","Cost","type","WorkOrder_AssetNames","WorkOrderDueDateTime","WorkOrderIsSafetyCritical","CoreResource","ScheduledFinish","WorkOrderScheduledEndDateTime","WorkOrderTitle","healthWarning"
"WO_10463052","","Fri, 19 May 2023 11:23:46 GMT","Leaking ESV inspection","MECH","014","0","[""23-TAH-96113-03""]","CMAT","Ready for execution","Mon, 29 May 2023 11:23:46 GMT","Tue, 16 May 2023 11:23:46 GMT","CONSTRUCTION","0","0","LOR","Ready for execution","23-TAH-96113-03","4","Tue, 16 May 2023 11:23:46 GMT","SAP","1684236226482","WO_10463052","MECH","PM01","CONSTRUCTION","[""23-TAH-96113-03""]","false","No","CMAT","50","CMAT","23-TAH-96113-03","DESCRIPTION OF FAULT: The hypochlorite generators have been neglected for over 1 year with PPMs deferred and no vendor sent for support. CONSEQUENCE / IMPACT: Units out of service MITIGATIONS AND / OR CORRECTIVE STEPS REQUIRED OR TAKEN: What actions are required or have been taken: ·   To minimize the severity of the fault? ·   Reduce the likelihood of the consequence occurring? ·   To manage or prevent the situation from deteriorating? ·   How robust and how long will the mitigation last? MANNING; MATERIAL AND SPECIAL TOOLS REQUIRED 1 engineer for 2 days engineer to bring basic toolkit for any immediate repairs LOCATION / ACCESS REQUIREMENTS / SCAFFOLD / ANY OTHER INFO TERMINATION DRAWING: LAYOUT DRAWING: SUGGESTED FIX: vendor to get a baseline of the condition of all units in the field in order to asses the appropriate maintenance action to be taken. The line walk <(>&<)> survey would cover the complete system from tank to injection point including: - general inspection of pipe work and tubing installations - inspection of tank - check of calibration dates for PSV/PRV <(>&<)> Gauges - check setting of PSV - check injection pressure - measure pumped volume - check shut-of valves and bleed valves - check conditions of cables - check conditions of instruments - check pulsation dampers ( pre-charging if needed ) - check function of check valves - check start/stop function Any immediate repairs can also be done on site by the attending engineer.","Leaking ESV inspection","REL","50","RDEX","41NOEV","4","RDEX","41NOEV","50","1684495426482","CMAT","-29","50","PM01","23-TAH-96113-03","23-TAH-96113-03","LOR-PACKAGE-02","10463052","Leaking ESV inspection","REL","10463052","21","WorkOrder","[""23-TAH-96113-03""]","Mon, 29 May 2023 11:23:46 GMT","NO","MECH","Fri, 19 May 2023 11:23:46 GMT","Fri, 19 May 2023 11:23:46 GMT","Leaking ESV inspection",""
"WO_10897097","","Sat, 27 May 2023 11:23:46 GMT","Instrumentation ESV maintenance","SUPV","010","0","[""23-LI-92523""]","CMAT","Ready for execution","Mon, 12 Jun 2023 11:23:46 GMT","Thu, 25 May 2023 11:23:46 GMT","CAMPAIGNS","0","0","LOR","Ready for execution","23-LI-92523","2","Thu, 25 May 2023 11:23:46 GMT","SAP","1685013826483","WO_10897097","SUPV","PM01","CAMPAIGNS","[""23-LI-92523""]","false","No","CMAT","34","CMAT","23-LI-92523","DESCRIPTION OF FAULT: The hypochlorite generators have been neglected for over 1 year with PPMs deferred and no vendor sent for support. CONSEQUENCE / IMPACT: Units out of service MITIGATIONS AND / OR CORRECTIVE STEPS REQUIRED OR TAKEN: What actions are required or have been taken: ·   To minimize the severity of the fault? ·   Reduce the likelihood of the consequence occurring? ·   To manage or prevent the situation from deteriorating? ·   How robust and how long will the mitigation last? MANNING; MATERIAL AND SPECIAL TOOLS REQUIRED 1 engineer for 2 days engineer to bring basic toolkit for any immediate repairs LOCATION / ACCESS REQUIREMENTS / SCAFFOLD / ANY OTHER INFO TERMINATION DRAWING: LAYOUT DRAWING: SUGGESTED FIX: vendor to get a baseline of the condition of all units in the field in order to asses the appropriate maintenance action to be taken. The line walk <(>&<)> survey would cover the complete system from tank to injection point including: - general inspection of pipe work and tubing installations - inspection of tank - check of calibration dates for PSV/PRV <(>&<)> Gauges - check setting of PSV - check injection pressure - measure pumped volume - check shut-of valves and bleed valves - check conditions of cables - check conditions of instruments - check pulsation dampers ( pre-charging if needed ) - check function of check valves - check start/stop function Any immediate repairs can also be done on site by the attending engineer.","Instrumentation ESV maintenance","REL","34","RDEX","41NOEV","2","RDEX","41NOEV","34","1685186626483","CMAT","-29","34","PM01","23-LI-92523","23-LI-92523","ONS-SHUTDOWN-01","10897097","Instrumentation ESV maintenance","REL","10897097","48","WorkOrder","[""23-LI-92523""]","Mon, 12 Jun 2023 11:23:46 GMT","NO","SUPV","Sat, 27 May 2023 11:23:46 GMT","Sat, 27 May 2023 11:23:46 GMT","Instrumentation ESV maintenance",""
"WO_11525503","","Wed, 17 May 2023 11:23:46 GMT","Instrumentation PIPE inspection","ELEC","011","0","[""23-TI-96101-03""]","NMAT","Ready for execution","Sat, 27 May 2023 11:23:46 GMT","Sun, 14 May 2023 11:23:46 GMT","CONSTRUCTION","0","0","LOR","Ready for execution","23-TI-96101-03","4","Sun, 14 May 2023 11:23:46 GMT","SAP","1684063426407","WO_11525503","ELEC","PM01","CONSTRUCTION","[""23-TI-96101-03""]","false","No","NMAT","42","NMAT","23-TI-96101-03","DESCRIPTION OF FAULT: The hypochlorite generators have been neglected for over 1 year with PPMs deferred and no vendor sent for support. CONSEQUENCE / IMPACT: Units out of service MITIGATIONS AND / OR CORRECTIVE STEPS REQUIRED OR TAKEN: What actions are required or have been taken: ·   To minimize the severity of the fault? ·   Reduce the likelihood of the consequence occurring? ·   To manage or prevent the situation from deteriorating? ·   How robust and how long will the mitigation last? MANNING; MATERIAL AND SPECIAL TOOLS REQUIRED 1 engineer for 2 days engineer to bring basic toolkit for any immediate repairs LOCATION / ACCESS REQUIREMENTS / SCAFFOLD / ANY OTHER INFO TERMINATION DRAWING: LAYOUT DRAWING: SUGGESTED FIX: vendor to get a baseline of the condition of all units in the field in order to asses the appropriate maintenance action to be taken. The line walk <(>&<)> survey would cover the complete system from tank to injection point including: - general inspection of pipe work and tubing installations - inspection of tank - check of calibration dates for PSV/PRV <(>&<)> Gauges - check setting of PSV - check injection pressure - measure pumped volume - check shut-of valves and bleed valves - check conditions of cables - check conditions of instruments - check pulsation dampers ( pre-charging if needed ) - check function of check valves - check start/stop function Any immediate repairs can also be done on site by the attending engineer.","Instrumentation PIPE inspection","REL","42","RDEX","41NOEV","4","RDEX","41NOEV","42","1684322626407","NMAT","-19","42","PM01","23-TI-96101-03","23-TI-96101-03","LOR-PACKAGE-01","11525503","Instrumentation PIPE inspection","REL","11525503","97","WorkOrder","[""23-TI-96101-03""]","Sat, 27 May 2023 11:23:46 GMT","NO","ELEC","Wed, 17 May 2023 11:23:46 GMT","Wed, 17 May 2023 11:23:46 GMT","Instrumentation PIPE inspection",""
"WO_11667611","","Fri, 23 Jun 2023 11:23:46 GMT","Initial Fire extinguisher survey","INST","013","0","[""23-ZAHH-96121-01""]","CMAT","Ready for execution","Wed, 05 Jul 2023 11:23:46 GMT","Wed, 21 Jun 2023 11:23:46 GMT","CAMPAIGNS","0","0","LOR","Ready for execution","23-ZAHH-96121-01","4","Wed, 21 Jun 2023 11:23:46 GMT","SAP","1687346626465","WO_11667611","INST","CM02","CAMPAIGNS","[""23-ZAHH-96121-01""]","false","No","CMAT","50","CMAT","23-ZAHH-96121-01","DESCRIPTION OF FAULT: The hypochlorite generators have been neglected for over 1 year with PPMs deferred and no vendor sent for support. CONSEQUENCE / IMPACT: Units out of service MITIGATIONS AND / OR CORRECTIVE STEPS REQUIRED OR TAKEN: What actions are required or have been taken: ·   To minimize the severity of the fault? ·   Reduce the likelihood of the consequence occurring? ·   To manage or prevent the situation from deteriorating? ·   How robust and how long will the mitigation last? MANNING; MATERIAL AND SPECIAL TOOLS REQUIRED 1 engineer for 2 days engineer to bring basic toolkit for any immediate repairs LOCATION / ACCESS REQUIREMENTS / SCAFFOLD / ANY OTHER INFO TERMINATION DRAWING: LAYOUT DRAWING: SUGGESTED FIX: vendor to get a baseline of the condition of all units in the field in order to asses the appropriate maintenance action to be taken. The line walk <(>&<)> survey would cover the complete system from tank to injection point including: - general inspection of pipe work and tubing installations - inspection of tank - check of calibration dates for PSV/PRV <(>&<)> Gauges - check setting of PSV - check injection pressure - measure pumped volume - check shut-of valves and bleed valves - check conditions of cables - check conditions of instruments - check pulsation dampers ( pre-charging if needed ) - check function of check valves - check start/stop function Any immediate repairs can also be done on site by the attending engineer.","Initial Fire extinguisher survey","REL","50","RDEX","41NOEV","4","RDEX","41NOEV","50","1687519426465","CMAT","-25","50","CM02","23-ZAHH-96121-01","23-ZAHH-96121-01","LOR-PACKAGE-02","11667611","Initial Fire extinguisher survey","REL","11667611","59","WorkOrder","[""23-ZAHH-96121-01""]","Wed, 05 Jul 2023 11:23:46 GMT","NO","INST","Fri, 23 Jun 2023 11:23:46 GMT","Fri, 23 Jun 2023 11:23:46 GMT","Initial Fire extinguisher survey",""
"WO_11689250","","Thu, 15 Jun 2023 11:23:46 GMT","Initial ESDV shutdown","MECH","018","0","[""23-TE-96131-01""]","WMATB","Ready for execution","Thu, 29 Jun 2023 11:23:46 GMT","Tue, 13 Jun 2023 11:23:46 GMT","BASE OPERATIONS","0","0","LOR","Ready for execution","23-TE-96131-01","3","Tue, 13 Jun 2023 11:23:46 GMT","SAP","1686655426448","WO_11689250","MECH","PM01","BASE OPERATIONS","[""23-TE-96131-01""]","false","No","WMATB","54","WMATB","23-TE-96131-01","DESCRIPTION OF FAULT: The hypochlorite generators have been neglected for over 1 year with PPMs deferred and no vendor sent for support. CONSEQUENCE / IMPACT: Units out of service MITIGATIONS AND / OR CORRECTIVE STEPS REQUIRED OR TAKEN: What actions are required or have been taken: ·   To minimize the severity of the fault? ·   Reduce the likelihood of the consequence occurring? ·   To manage or prevent the situation from deteriorating? ·   How robust and how long will the mitigation last? MANNING; MATERIAL AND SPECIAL TOOLS REQUIRED 1 engineer for 2 days engineer to bring basic toolkit for any immediate repairs LOCATION / ACCESS REQUIREMENTS / SCAFFOLD / ANY OTHER INFO TERMINATION DRAWING: LAYOUT DRAWING: SUGGESTED FIX: vendor to get a baseline of the condition of all units in the field in order to asses the appropriate maintenance action to be taken. The line walk <(>&<)> survey would cover the complete system from tank to injection point including: - general inspection of pipe work and tubing installations - inspection of tank - check of calibration dates for PSV/PRV <(>&<)> Gauges - check setting of PSV - check injection pressure - measure pumped volume - check shut-of valves and bleed valves - check conditions of cables - check conditions of instruments - check pulsation dampers ( pre-charging if needed ) - check function of check valves - check start/stop function Any immediate repairs can also be done on site by the attending engineer.","Initial ESDV shutdown","REL","54","RDEX","41NOEV","3","RDEX","41NOEV","54","1686828226448","WMATB","-23","54","PM01","23-TE-96131-01","23-TE-96131-01","LOR-SHUTDOWN-21","11689250","Initial ESDV shutdown","REL","11689250","58","WorkOrder","[""23-TE-96131-01""]","Thu, 29 Jun 2023 11:23:46 GMT","NO","MECH","Thu, 15 Jun 2023 11:23:46 GMT","Thu, 15 Jun 2023 11:23:46 GMT","Initial ESDV shutdown",""
"WO_11870235","","Tue, 04 Apr 2023 11:23:46 GMT","Instrumentation BDSV turn off","TECH","016","0","[""PH-S-1400""]","WMATB","Ready for execution","Sun, 16 Apr 2023 11:23:46 GMT","Sun, 02 Apr 2023 11:23:46 GMT","CONSTRUCTION","0","0","LOR","Ready for execution","PH-S-1400","3","Sun, 02 Apr 2023 11:23:46 GMT","SAP","1680434626383","WO_11870235","TECH","PM01","CONSTRUCTION","[""PH-S-1400""]","false","No","WMATB","14","WMATB","PH-S-1400","DESCRIPTION OF FAULT: The hypochlorite generators have been neglected for over 1 year with PPMs deferred and no vendor sent for support. CONSEQUENCE / IMPACT: Units out of service MITIGATIONS AND / OR CORRECTIVE STEPS REQUIRED OR TAKEN: What actions are required or have been taken: ·   To minimize the severity of the fault? ·   Reduce the likelihood of the consequence occurring? ·   To manage or prevent the situation from deteriorating? ·   How robust and how long will the mitigation last? MANNING; MATERIAL AND SPECIAL TOOLS REQUIRED 1 engineer for 2 days engineer to bring basic toolkit for any immediate repairs LOCATION / ACCESS REQUIREMENTS / SCAFFOLD / ANY OTHER INFO TERMINATION DRAWING: LAYOUT DRAWING: SUGGESTED FIX: vendor to get a baseline of the condition of all units in the field in order to asses the appropriate maintenance action to be taken. The line walk <(>&<)> survey would cover the complete system from tank to injection point including: - general inspection of pipe work and tubing installations - inspection of tank - check of calibration dates for PSV/PRV <(>&<)> Gauges - check setting of PSV - check injection pressure - measure pumped volume - check shut-of valves and bleed valves - check conditions of cables - check conditions of instruments - check pulsation dampers ( pre-charging if needed ) - check function of check valves - check start/stop function Any immediate repairs can also be done on site by the attending engineer.","Instrumentation BDSV turn off","REL","14","RDEX","41NOEV","3","RDEX","41NOEV","14","1680607426383","WMATB","-17","14","PM01","PH-S-1400","PH-S-1400","ONS-SHUTDOWN-01","11870235","Instrumentation BDSV turn off","REL","11870235","61","WorkOrder","[""PH-S-1400""]","Sun, 16 Apr 2023 11:23:46 GMT","NO","TECH","Tue, 04 Apr 2023 11:23:46 GMT","Tue, 04 Apr 2023 11:23:46 GMT","Instrumentation BDSV turn off",""
"WO_1265352","","Tue, 21 Mar 2023 11:23:46 GMT","Regular safety check: pipes maintenance","ELEC","019","0","[""21PT1019""]","CMAT","Ready for execution","Mon, 27 Mar 2023 11:23:46 GMT","Sun, 19 Mar 2023 11:23:46 GMT","CAMPAIGNS","0","0","LOR","Ready for execution","21PT1019","1","Sun, 19 Mar 2023 11:23:46 GMT","SAP","1679225026326","WO_1265352","ELEC","CM01","CAMPAIGNS","[""LOR_NORWAY_SYSTEM_021_21PT1019"",""LOR_NORWAY_SYSTEM_021_TT96183"",""LOR_NORWAY_SYSTEM_021_TT 96181-03"",""LOR_NORWAY_SYSTEM_021_TT 96181-02"",""LOR_NORWAY_SYSTEM_021_TT 96181-01"",""LOR_NORWAY_SYSTEM_021_TSHH97197"",""LOR_NORWAY_SYSTEM_021_PSV96192"",""LOR_NORWAY_SYSTEM_021_PSV96191"",""LOR_NORWAY_SYSTEM_021_PSV96190"",""LOR_NORWAY_SYSTEM_021_PSV96189"",""LOR_NORWAY_SYSTEM_021_PI96177"",""LOR_NORWAY_SYSTEM_021_PCV96176"",""LOR_NORWAY_SYSTEM_021_LT96182-03"",""LOR_NORWAY_SYSTEM_021_LT96182-02"",""LOR_NORWAY_SYSTEM_021_LT96182-01"",""LOR_NORWAY_SYSTEM_021_FO96188"",""LOR_NORWAY_SYSTEM_021_FO96187"",""LOR_NORWAY_SYSTEM_021_FO96176-02"",""LOR_NORWAY_SYSTEM_021_FO96176-01"",""LOR_NORWAY_SYSTEM_021_7STIB5223440D"",""LOR_NORWAY_SYSTEM_021_21PT1017"",""LOR_NORWAY_SYSTEM_021_21PI1032"",""LOR_NORWAY_SYSTEM_021_21PI1017"",""LOR_NORWAY_SYSTEM_021_212-VD-9365-H06"",""LOR_NORWAY_SYSTEM_021_212-VD-9365-H05"",""LOR_NORWAY_SYSTEM_021_212-VD-9365-H04"",""LOR_NORWAY_SYSTEM_021_212-VD-9365-H03"",""LOR_NORWAY_SYSTEM_021_212-VD-9365-H02""]","false","No","CMAT","38","CMAT","21PT1019","DESCRIPTION OF FAULT: The hypochlorite generators have been neglected for over 1 year with PPMs deferred and no vendor sent for support. CONSEQUENCE / IMPACT: Units out of service MITIGATIONS AND / OR CORRECTIVE STEPS REQUIRED OR TAKEN: What actions are required or have been taken: ·   To minimize the severity of the fault? ·   Reduce the likelihood of the consequence occurring? ·   To manage or prevent the situation from deteriorating? ·   How robust and how long will the mitigation last? MANNING; MATERIAL AND SPECIAL TOOLS REQUIRED 1 engineer for 2 days engineer to bring basic toolkit for any immediate repairs LOCATION / ACCESS REQUIREMENTS / SCAFFOLD / ANY OTHER INFO TERMINATION DRAWING: LAYOUT DRAWING: SUGGESTED FIX: vendor to get a baseline of the condition of all units in the field in order to asses the appropriate maintenance action to be taken. The line walk <(>&<)> survey would cover the complete system from tank to injection point including: - general inspection of pipe work and tubing installations - inspection of tank - check of calibration dates for PSV/PRV <(>&<)> Gauges - check setting of PSV - check injection pressure - measure pumped volume - check shut-of valves and bleed valves - check conditions of cables - check conditions of instruments - check pulsation dampers ( pre-charging if needed ) - check function of check valves - check start/stop function Any immediate repairs can also be done on site by the attending engineer.","Regular safety check: pipes maintenance","REL","38","RDEX","41NOEV","1","RDEX","41NOEV","38","1679397826326","CMAT","-11","38","CM01","21PT1019","21PT1019","LOR-SHUTDOWN-21","1265352","Regular safety check: pipes maintenance","REL","1265352","95","WorkOrder","[""21PT1019""]","Mon, 27 Mar 2023 11:23:46 GMT","NO","ELEC","Tue, 21 Mar 2023 11:23:46 GMT","Tue, 21 Mar 2023 11:23:46 GMT","Regular safety check: pipes maintenance",""
"WO_12672666","","Sat, 17 Jun 2023 11:23:46 GMT","Leaking Fire extinguisher survey","TECH","017","0","[""23-TT-92604""]","CMAT","Ready for execution","Wed, 05 Jul 2023 11:23:46 GMT","Wed, 14 Jun 2023 11:23:46 GMT","BASE OPERATIONS","0","0","LOR","Ready for execution","23-TT-92604","2","Wed, 14 Jun 2023 11:23:46 GMT","SAP","1686741826373","WO_12672666","TECH","CM02","BASE OPERATIONS","[""23-TT-92604""]","false","No","CMAT","7","CMAT","23-TT-92604","DESCRIPTION OF FAULT: The hypochlorite generators have been neglected for over 1 year with PPMs deferred and no vendor sent for support. CONSEQUENCE / IMPACT: Units out of service MITIGATIONS AND / OR CORRECTIVE STEPS REQUIRED OR TAKEN: What actions are required or have been taken: ·   To minimize the severity of the fault? ·   Reduce the likelihood of the consequence occurring? ·   To manage or prevent the situation from deteriorating? ·   How robust and how long will the mitigation last? MANNING; MATERIAL AND SPECIAL TOOLS REQUIRED 1 engineer for 2 days engineer to bring basic toolkit for any immediate repairs LOCATION / ACCESS REQUIREMENTS / SCAFFOLD / ANY OTHER INFO TERMINATION DRAWING: LAYOUT DRAWING: SUGGESTED FIX: vendor to get a baseline of the condition of all units in the field in order to asses the appropriate maintenance action to be taken. The line walk <(>&<)> survey would cover the complete system from tank to injection point including: - general inspection of pipe work and tubing installations - inspection of tank - check of calibration dates for PSV/PRV <(>&<)> Gauges - check setting of PSV - check injection pressure - measure pumped volume - check shut-of valves and bleed valves - check conditions of cables - check conditions of instruments - check pulsation dampers ( pre-charging if needed ) - check function of check valves - check start/stop function Any immediate repairs can also be done on site by the attending engineer.","Leaking Fire extinguisher survey","REL","7","RDEX","41NOEV","2","RDEX","41NOEV","7","1687001026373","CMAT","-15","7","CM02","23-TT-92604","23-TT-92604","LOR-PACKAGE-02","12672666","Leaking Fire extinguisher survey","REL","12672666","34","WorkOrder","[""23-TT-92604""]","Wed, 05 Jul 2023 11:23:46 GMT","NO","TECH","Sat, 17 Jun 2023 11:23:46 GMT","Sat, 17 Jun 2023 11:23:46 GMT","Leaking Fire extinguisher survey",""
"WO_12975165","","Sat, 24 Jun 2023 11:23:46 GMT","Leaking VALVE survey","SUPV","010","0","[""23-PT-96160-01""]","CMAT","Ready for execution","Fri, 07 Jul 2023 11:23:46 GMT","Wed, 21 Jun 2023 11:23:46 GMT","CAMPAIGNS","0","0","LOR","Ready for execution","23-PT-96160-01","4","Wed, 21 Jun 2023 11:23:46 GMT","SAP","1687346626417","WO_12975165","SUPV","PM02","CAMPAIGNS","[""23-PT-96160-01""]","false","Yes","CMAT","17","CMAT","23-PT-96160-01","DESCRIPTION OF FAULT: The hypochlorite generators have been neglected for over 1 year with PPMs deferred and no vendor sent for support. CONSEQUENCE / IMPACT: Units out of service MITIGATIONS AND / OR CORRECTIVE STEPS REQUIRED OR TAKEN: What actions are required or have been taken: ·   To minimize the severity of the fault? ·   Reduce the likelihood of the consequence occurring? ·   To manage or prevent the situation from deteriorating? ·   How robust and how long will the mitigation last? MANNING; MATERIAL AND SPECIAL TOOLS REQUIRED 1 engineer for 2 days engineer to bring basic toolkit for any immediate repairs LOCATION / ACCESS REQUIREMENTS / SCAFFOLD / ANY OTHER INFO TERMINATION DRAWING: LAYOUT DRAWING: SUGGESTED FIX: vendor to get a baseline of the condition of all units in the field in order to asses the appropriate maintenance action to be taken. The line walk <(>&<)> survey would cover the complete system from tank to injection point including: - general inspection of pipe work and tubing installations - inspection of tank - check of calibration dates for PSV/PRV <(>&<)> Gauges - check setting of PSV - check injection pressure - measure pumped volume - check shut-of valves and bleed valves - check conditions of cables - check conditions of instruments - check pulsation dampers ( pre-charging if needed ) - check function of check valves - check start/stop function Any immediate repairs can also be done on site by the attending engineer.","Leaking VALVE survey","REL","17","RDEX","41NOEV","4","RDEX","41NOEV","17","1687605826417","CMAT","-19","17","PM02","23-PT-96160-01","23-PT-96160-01","LOR-PACKAGE-01","12975165","Leaking VALVE survey","REL","12975165","66","WorkOrder","[""23-PT-96160-01""]","Fri, 07 Jul 2023 11:23:46 GMT","NO","SUPV","Sat, 24 Jun 2023 11:23:46 GMT","Sat, 24 Jun 2023 11:23:46 GMT","Leaking VALVE survey",""
"WO_13318406","","Tue, 06 Jun 2023 11:23:46 GMT","General VALVE inspection","INST","012","0","[""23-TE-96103-01""]","CMAT","Ready for execution","Tue, 20 Jun 2023 11:23:46 GMT","Fri, 02 Jun 2023 11:23:46 GMT","CONSTRUCTION","0","0","LOR","Ready for execution","23-TE-96103-01","2","Fri, 02 Jun 2023 11:23:46 GMT","SAP","1685705026483","WO_13318406","INST","CM02","CONSTRUCTION","[""23-TE-96103-01""]","false","No","CMAT","24","CMAT","23-TE-96103-01","DESCRIPTION OF FAULT: The hypochlorite generators have been neglected for over 1 year with PPMs deferred and no vendor sent for support. CONSEQUENCE / IMPACT: Units out of service MITIGATIONS AND / OR CORRECTIVE STEPS REQUIRED OR TAKEN: What actions are required or have been taken: ·   To minimize the severity of the fault? ·   Reduce the likelihood of the consequence occurring? ·   To manage or prevent the situation from deteriorating? ·   How robust and how long will the mitigation last? MANNING; MATERIAL AND SPECIAL TOOLS REQUIRED 1 engineer for 2 days engineer to bring basic toolkit for any immediate repairs LOCATION / ACCESS REQUIREMENTS / SCAFFOLD / ANY OTHER INFO TERMINATION DRAWING: LAYOUT DRAWING: SUGGESTED FIX: vendor to get a baseline of the condition of all units in the field in order to asses the appropriate maintenance action to be taken. The line walk <(>&<)> survey would cover the complete system from tank to injection point including: - general inspection of pipe work and tubing installations - inspection of tank - check of calibration dates for PSV/PRV <(>&<)> Gauges - check setting of PSV - check injection pressure - measure pumped volume - check shut-of valves and bleed valves - check conditions of cables - check conditions of instruments - check pulsation dampers ( pre-charging if needed ) - check function of check valves - check start/stop function Any immediate repairs can also be done on site by the attending engineer.","General VALVE inspection","REL","24","RDEX","41NOEV","2","RDEX","41NOEV","24","1686050626483","CMAT","-29","24","CM02","23-TE-96103-01","23-TE-96103-01","LOR-PACKAGE-01","13318406","General VALVE inspection","REL","13318406","38","WorkOrder","[""23-TE-96103-01""]","Tue, 20 Jun 2023 11:23:46 GMT","NO","INST","Tue, 06 Jun 2023 11:23:46 GMT","Tue, 06 Jun 2023 11:23:46 GMT","General VALVE inspection","[""Work order materials does not match historic records""]"
