id,actor,movie
Tim Robbins-The Shawshank Redemption,Tim Robbins,The Shawshank Redemption
Morgan Freeman-The Shawshank Redemption,Morgan Freeman,The Shawshank Redemption
Bob Gunton-The Shawshank Redemption,Bob Gunton,The Shawshank Redemption
William Sadler-The Shawshank Redemption,William Sadler,The Shawshank Redemption
Marlon Brando-The Godfather,Marlon Brando,The Godfather
Al Pacino-The Godfather,Al Pacino,The Godfather
James Caan-The Godfather,James Caan,The Godfather
Diane Keaton-The Godfather,Diane Keaton,The Godfather
Christian Bale-The Dark Knight,Christian Bale,The Dark Knight
Heath Ledger-The Dark Knight,Heath Ledger,The Dark Knight
Aaron Eckhart-The Dark Knight,Aaron Eckhart,The Dark Knight
Michael Caine-The Dark Knight,Michael Caine,The Dark Knight
Al Pacino-The Godfather: Part II,Al Pacino,The Godfather: Part II
Robert De Niro-The Godfather: Part II,Robert De Niro,The Godfather: Part II
Robert Duvall-The Godfather: Part II,Robert Duvall,The Godfather: Part II
Diane Keaton-The Godfather: Part II,Diane Keaton,The Godfather: Part II
Henry Fonda-12 Angry Men,Henry Fonda,12 Angry Men
Lee J. Cobb-12 Angry Men,Lee J. Cobb,12 Angry Men
Martin Balsam-12 Angry Men,Martin Balsam,12 Angry Men
John Fiedler-12 Angry Men,John Fiedler,12 Angry Men
Elijah Wood-The Lord of the Rings: The Return of the King,Elijah Wood,The Lord of the Rings: The Return of the King
Viggo Mortensen-The Lord of the Rings: The Return of the King,Viggo Mortensen,The Lord of the Rings: The Return of the King
Ian McKellen-The Lord of the Rings: The Return of the King,Ian McKellen,The Lord of the Rings: The Return of the King
Orlando Bloom-The Lord of the Rings: The Return of the King,Orlando Bloom,The Lord of the Rings: The Return of the King
John Travolta-Pulp Fiction,John Travolta,Pulp Fiction
Uma Thurman-Pulp Fiction,Uma Thurman,Pulp Fiction
Samuel L. Jackson-Pulp Fiction,Samuel L. Jackson,Pulp Fiction
Bruce Willis-Pulp Fiction,Bruce Willis,Pulp Fiction
Liam Neeson-Schindler's List,Liam Neeson,Schindler's List
Ralph Fiennes-Schindler's List,Ralph Fiennes,Schindler's List
Ben Kingsley-Schindler's List,Ben Kingsley,Schindler's List
Caroline Goodall-Schindler's List,Caroline Goodall,Schindler's List
Leonardo DiCaprio-Inception,Leonardo DiCaprio,Inception
Joseph Gordon-Levitt-Inception,Joseph Gordon-Levitt,Inception
Elliot Page-Inception,Elliot Page,Inception
Ken Watanabe-Inception,Ken Watanabe,Inception
Brad Pitt-Fight Club,Brad Pitt,Fight Club
Edward Norton-Fight Club,Edward Norton,Fight Club
Meat Loaf-Fight Club,Meat Loaf,Fight Club
Zach Grenier-Fight Club,Zach Grenier,Fight Club
Elijah Wood-The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,The Lord of the Rings: The Fellowship of the Ring
