id,Movie_Name,Released_Year,Run_time,IMDB_Rating,Description,Gross_USD,Director
The Shawshank Redemption,The Shawshank Redemption,1994,142,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",28341469,Frank Darabont
The Godfather,The Godfather,1972,175,9.2,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,134966411,Francis Ford Coppola
The Dark Knight,The Dark Knight,2008,152,9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",534858444,Christopher Nolan
The Godfather: Part II,The Godfather: Part II,1974,202,9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",57300000,Francis Ford Coppola
12 Angry Men,12 Angry Men,1957,96,9.0,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,4360000,Sidney Lumet
The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003,201,8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,377845905,Peter Jackson
Pulp Fiction,Pulp Fiction,1994,154,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",107928762,Quentin Tarantino
Schindler's List,Schindler's List,1993,195,8.9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",96898818,Steven Spielberg
Inception,Inception,2010,148,8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,292576195,Christopher Nolan
Fight Club,Fight Club,1999,139,8.8,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",37030102,David Fincher
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,315544750,Peter Jackson
Forrest Gump,Forrest Gump,1994,142,8.8,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",330252182,Robert Zemeckis
"Il buono, il brutto, il cattivo","Il buono, il brutto, il cattivo",1966,161,8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,6100000,Sergio Leone
The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002,179,8.7,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",342551365,Peter Jackson
The Matrix,The Matrix,1999,136,8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",171479930,Lana Wachowski
Goodfellas,Goodfellas,1990,146,8.7,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",46836394,Martin Scorsese
Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",290475067,Irvin Kershner
One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,1975,133,8.7,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",112000000,Milos Forman
Hamilton,Hamilton,2020,160,8.6,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",,Thomas Kail
Gisaengchung,Gisaengchung,2019,132,8.6,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,53367844,Bong Joon Ho
Soorarai Pottru,Soorarai Pottru,2020,153,8.6,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",,Sudha Kongara
Interstellar,Interstellar,2014,169,8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,188020017,Christopher Nolan
Cidade de Deus,Cidade de Deus,2002,130,8.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",7563397,Fernando Meirelles
Sen to Chihiro no kamikakushi,Sen to Chihiro no kamikakushi,2001,125,8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",10055859,Hayao Miyazaki
Saving Private Ryan,Saving Private Ryan,1998,169,8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",216540909,Steven Spielberg
The Green Mile,The Green Mile,1999,189,8.6,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",136801374,Frank Darabont
La vita è bella,La vita è bella,1997,116,8.6,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",57598247,Roberto Benigni
Se7en,Se7en,1995,127,8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",100125643,David Fincher
The Silence of the Lambs,The Silence of the Lambs,1991,118,8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",130742922,Jonathan Demme
Star Wars,Star Wars,1977,121,8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",322740140,George Lucas
Seppuku,Seppuku,1962,133,8.6,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",,Masaki Kobayashi
Shichinin no samurai,Shichinin no samurai,1954,207,8.6,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,269061,Akira Kurosawa
It's a Wonderful Life,It's a Wonderful Life,1946,130,8.6,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,,Frank Capra
Joker,Joker,2019,122,8.5,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",335451311,Todd Phillips
Whiplash,Whiplash,2014,106,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,13092000,Damien Chazelle
The Intouchables,The Intouchables,2011,112,8.5,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",13182281,Olivier Nakache
The Prestige,The Prestige,2006,130,8.5,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",53089891,Christopher Nolan
The Departed,The Departed,2006,151,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,132384315,Martin Scorsese
The Pianist,The Pianist,2002,150,8.5,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,32572577,Roman Polanski
Gladiator,Gladiator,2000,155,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,187705427,Ridley Scott
American History X,American History X,1998,119,8.5,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,6719864,Tony Kaye
The Usual Suspects,The Usual Suspects,1995,106,8.5,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",23341568,Bryan Singer
Léon,Léon,1994,110,8.5,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",19501238,Luc Besson
The Lion King,The Lion King,1994,88,8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",422783777,Roger Allers
Terminator 2: Judgment Day,Terminator 2: Judgment Day,1991,137,8.5,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",204843350,James Cameron
Nuovo Cinema Paradiso,Nuovo Cinema Paradiso,1988,155,8.5,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,11990401,Giuseppe Tornatore
Hotaru no haka,Hotaru no haka,1988,89,8.5,A young boy and his little sister struggle to survive in Japan during World War II.,,Isao Takahata
Back to the Future,Back to the Future,1985,116,8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",210609762,Robert Zemeckis
Once Upon a Time in the West,Once Upon a Time in the West,1968,165,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,5321508,Sergio Leone
Psycho,Psycho,1960,109,8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",32000000,Alfred Hitchcock
Casablanca,Casablanca,1942,102,8.5,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,1024560,Michael Curtiz
Modern Times,Modern Times,1936,87,8.5,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,163245,Charles Chaplin
City Lights,City Lights,1931,87,8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",19181,Charles Chaplin
Capharnaüm,Capharnaüm,2018,126,8.4,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",1661096,Nadine Labaki
Ayla: The Daughter of War,Ayla: The Daughter of War,2017,125,8.4,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »",,Can Ulkay
Vikram Vedha,Vikram Vedha,2017,147,8.4,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",,Gayatri
