id,name
Boaz Yakin,Boaz Yakin
Sean Penn,Sean Penn
Jonathan Demme,Jonathan Demme
Roger Donaldson,Roger Donaldson
Steven Spielberg,Steven Spielberg
John Frankenheimer,John Frankenheimer
Robert Rossen,Robert Rossen
Luc Besson,Luc Besson
Abhishek Kapoor,Abhishek Kapoor
George Seaton,George Seaton
Richard Brooks,Richard Brooks
John Carpenter,John Carpenter
Xavier Dolan,Xavier Dolan
William Wyler,William Wyler
Nick Cassavetes,Nick Cassavetes
Mukesh Chhabra,Mukesh Chhabra
Destin Daniel Cretton,Destin Daniel Cretton
Sam Peckinpah,Sam Peckinpah
Mehmet Ada Öztekin,Mehmet Ada Öztekin
Deniz Gamze Ergüven,Deniz Gamze Ergüven
Jaco Van Dormael,Jaco Van Dormael
Vittorio De Sica,Vittorio De Sica
Rahi Anil Barve,Rahi Anil Barve
Majid Majidi,Majid Majidi
Aneesh Chaganty,Aneesh Chaganty
Hannes Holm,Hannes Holm
Jean-Pierre Melville,Jean-Pierre Melville
Paul Thomas Anderson,Paul Thomas Anderson
Mikael Håfström,Mikael Håfström
Julian Schnabel,Julian Schnabel
Paolo Genovese,Paolo Genovese
Andrew Lau,Andrew Lau
Richard Schenkman,Richard Schenkman
Robert Wiene,Robert Wiene
Rajkumar Santoshi,Rajkumar Santoshi
Kar-Wai Wong,Kar-Wai Wong
Yimou Zhang,Yimou Zhang
James Whale,James Whale
Taika Waititi,Taika Waititi
Troy Duffy,Troy Duffy
Tony Kaye,Tony Kaye
Walter Salles,Walter Salles
Walter Hill,Walter Hill
Christopher Miller,Christopher Miller
Sebastian Schipper,Sebastian Schipper
Bob Fosse,Bob Fosse
Felix van Groeningen,Felix van Groeningen
Francis Lee,Francis Lee
Sean Baker,Sean Baker
Stuart Rosenberg,Stuart Rosenberg
Mike Nichols,Mike Nichols
Ingmar Bergman,Ingmar Bergman
Quentin Tarantino,Quentin Tarantino
Jacques Audiard,Jacques Audiard
Blake Edwards,Blake Edwards
Abdellatif Kechiche,Abdellatif Kechiche
Gus Van Sant,Gus Van Sant
Anders Thomas Jensen,Anders Thomas Jensen
Nishikant Kamat,Nishikant Kamat
Danny Boyle,Danny Boyle
Yash Chopra,Yash Chopra
Takeshi Kitano,Takeshi Kitano
David Fincher,David Fincher
Moustapha Akkad,Moustapha Akkad
Aditya Dhar,Aditya Dhar
Karan Johar,Karan Johar
Nathan Greno,Nathan Greno
Rajkumar Hirani,Rajkumar Hirani
Jonathan Lynn,Jonathan Lynn
Michelangelo Antonioni,Michelangelo Antonioni
Michel Hazanavicius,Michel Hazanavicius
Ted Kotcheff,Ted Kotcheff
Gabriele Muccino,Gabriele Muccino
Gauri Shinde,Gauri Shinde
Nadine Labaki,Nadine Labaki
Sofia Coppola,Sofia Coppola
Stephen Frears,Stephen Frears
Shin'ichirô Watanabe,Shin'ichirô Watanabe
Alan J. Pakula,Alan J. Pakula
Alejandro Amenábar,Alejandro Amenábar
David O. Russell,David O. Russell
John Hughes,John Hughes
Alfonso Gomez-Rejon,Alfonso Gomez-Rejon
Fred Zinnemann,Fred Zinnemann
Tim Miller,Tim Miller
F. Gary Gray,F. Gary Gray
Kenneth Lonergan,Kenneth Lonergan
Vincent Paronnaud,Vincent Paronnaud
Gareth Edwards,Gareth Edwards
John Schlesinger,John Schlesinger
Don Siegel,Don Siegel
François Truffaut,François Truffaut
Mike Leigh,Mike Leigh
Theodore Melfi,Theodore Melfi
Eric Bress,Eric Bress
Joseph L. Mankiewicz,Joseph L. Mankiewicz
Stanley Kubrick,Stanley Kubrick
Elem Klimov,Elem Klimov
Tetsuya Nakashima,Tetsuya Nakashima
Stephen Daldry,Stephen Daldry
Vikramaditya Motwane,Vikramaditya Motwane
Andrei Tarkovsky,Andrei Tarkovsky
Jim Sheridan,Jim Sheridan
Andrey Zvyagintsev,Andrey Zvyagintsev
Rich Moore,Rich Moore
Edward Zwick,Edward Zwick
Gareth Evans,Gareth Evans
Mathieu Kassovitz,Mathieu Kassovitz
Henry Selick,Henry Selick
Joel Schumacher,Joel Schumacher
Umesh Shukla,Umesh Shukla
Alexander Mackendrick,Alexander Mackendrick
Marc Webb,Marc Webb
Alfonso Cuarón,Alfonso Cuarón
Noah Baumbach,Noah Baumbach
Fernando Meirelles,Fernando Meirelles
Tate Taylor,Tate Taylor
Louis Malle,Louis Malle
Matthew Vaughn,Matthew Vaughn
Kevin Macdonald,Kevin Macdonald
Alexander Payne,Alexander Payne
Joseph Kosinski,Joseph Kosinski
Christopher McQuarrie,Christopher McQuarrie
Steven Soderbergh,Steven Soderbergh
John Lee Hancock,John Lee Hancock
Andrew Stanton,Andrew Stanton
Jim Jarmusch,Jim Jarmusch
Todd Solondz,Todd Solondz
Andrew Adamson,Andrew Adamson
Francis Veber,Francis Veber
Alain Resnais,Alain Resnais
Mel Stuart,Mel Stuart
René Laloux,René Laloux
Abhishek Chaubey,Abhishek Chaubey
Yavuz Turgul,Yavuz Turgul
Yoshifumi Kondô,Yoshifumi Kondô
Tim Burton,Tim Burton
Wes Anderson,Wes Anderson
Joe Wright,Joe Wright
Tom McCarthy,Tom McCarthy
Terry George,Terry George
James Frawley,James Frawley
Georges Franju,Georges Franju
Bradley Cooper,Bradley Cooper
Harold Ramis,Harold Ramis
Jemaine Clement,Jemaine Clement
Pedro Almodóvar,Pedro Almodóvar
F.W. Murnau,F.W. Murnau
Adam McKay,Adam McKay
Vikas Bahl,Vikas Bahl
Billy Bob Thornton,Billy Bob Thornton
George A. Romero,George A. Romero
George Cukor,George Cukor
Juan José Campanella,Juan José Campanella
Lee Unkrich,Lee Unkrich
Adam Elliot,Adam Elliot
Bryan Singer,Bryan Singer
Scott Hicks,Scott Hicks
Sriram Raghavan,Sriram Raghavan
Jean-Marc Vallée,Jean-Marc Vallée
Luca Guadagnino,Luca Guadagnino
Robert Altman,Robert Altman
Ki-duk Kim,Ki-duk Kim
Nicolas Winding Refn,Nicolas Winding Refn
Joe Johnston,Joe Johnston
Imtiaz Ali,Imtiaz Ali
Ted Demme,Ted Demme
George Lucas,George Lucas
Lana Wachowski,Lana Wachowski
Meghna Gulzar,Meghna Gulzar
Aniruddha Roy Chowdhury,Aniruddha Roy Chowdhury
Ridley Scott,Ridley Scott
Anurag Kashyap,Anurag Kashyap
Robert Hamer,Robert Hamer
Peter Farrelly,Peter Farrelly
Robert Stevenson,Robert Stevenson
Oliver Hirschbiegel,Oliver Hirschbiegel
Joss Whedon,Joss Whedon
Prashanth Neel,Prashanth Neel
John Carney,John Carney
Satoshi Kon,Satoshi Kon
Michael Powell,Michael Powell
Naoko Yamada,Naoko Yamada
